Timestamp,Score,This is the design A,"on the scale of 1-5, how are you motivated to make purchase based on this App layout? (5 = very likely to purchase, 1 = very unlikely to purchase)","How easy was it to find the banana you were looking for?(5 = very easy, 1 = very difficult)
",How clear did you find the labels and icons in the app layout? (5 = very clear; 1 = very confusing),"How appealing or unappealing do you find the app layout?
 (5 = very appealing, 1 = very unappealing)
",,Mean Scores
1/24/2024 18:26:16,,Damn nice quality,4,5,5,3,17,4.25
1/24/2024 18:26:27,,,3,3,3,3,12,3
1/24/2024 18:27:01,,,1,4,5,3,13,3.25
1/24/2024 18:27:26,,bruh,4,1,1,5,11,2.75
1/24/2024 18:27:41,,,4,2,2,2,10,2.5
1/24/2024 18:27:52,,,3,3,3,3,12,3
1/24/2024 18:27:55,,,4,4,4,4,16,4
1/24/2024 18:27:59,,,2,2,2,2,8,2
1/24/2024 18:28:16,,,3,4,2,2,11,2.75
1/24/2024 18:28:18,,,1,1,2,1,5,1.25
1/24/2024 18:28:27,,,1,1,3,2,7,1.75
1/24/2024 18:28:31,,,4,2,3,3,12,3
1/24/2024 18:28:53,,,3,5,5,3,16,4
1/24/2024 18:28:56,,,1,1,1,3,6,1.5
1/24/2024 18:29:18,,,5,5,4,4,18,4.5
1/24/2024 18:29:27,,,4,1,3,3,11,2.75
1/24/2024 18:29:33,,,1,2,2,1,6,1.5
1/24/2024 18:29:36,,,5,4,3,4,16,4
1/24/2024 18:30:43,,,4,3,2,4,13,3.25
1/24/2024 18:31:06,,,3,2,3,3,11,2.75
1/24/2024 18:31:14,,,5,4,1,4,14,3.5
1/24/2024 18:31:56,,,4,1,3,3,11,2.75
1/24/2024 18:33:00,,,5,4,3,3,15,3.75
1/24/2024 18:33:05,,,3,5,3,3,14,3.5
1/24/2024 18:34:38,,,4,3,4,3,14,3.5
1/24/2024 18:34:54,,,4,4,3,4,15,3.75
1/24/2024 18:35:39,,,1,1,1,1,4,1
1/24/2024 18:36:08,,,3,5,4,4,16,4
1/24/2024 18:37:02,,,4,4,2,4,14,3.5
1/24/2024 18:38:24,,,4,5,5,4,18,4.5
1/24/2024 18:38:38,,,5,5,5,5,20,5
1/24/2024 18:38:42,,,2,2,1,1,6,1.5
1/24/2024 18:38:42,,,4,3,3,4,14,3.5
,,,,,,,mean,3.075757576
,,,,,,,std dev,1.020272728
,,,,,,,,
,,,,,,,,
,,,,,,#N/A,,
